format,metric,date,number_of_records,value_actual
Cassette,Units,2013/11/21 1:50,1,0.4
Cassette,Units,2013/10/12 16:06,1,0.1
Cassette,Units,2013/10/9 17:27,1,0
Cassette,Units,2013/9/24 15:31,1,0
Cassette,Units,2013/8/12 18:08,1,0
Cassette,Units,2013/7/31 7:00,1,
Cassette,Units,2013/7/31 3:50,1,
Cassette,Units,2013/7/30 2:36,1,
Cassette,Units,2013/7/27 8:30,1,
Cassette,Units,2013/7/26 11:32,1,
Cassette,Units,2013/7/18 0:46,1,
Cassette,Units,2013/6/13 2:51,1,
Cassette,Units,2013/6/1 22:49,1,
Cassette Single,Units,2013/5/14 23:20,1,
Cassette Single,Units,2013/4/30 8:40,1,
Cassette Single,Units,2013/4/21 6:23,1,
Cassette Single,Units,2013/3/12 10:32,1,
Cassette Single,Units,2013/2/20 13:13,1,
Cassette Single,Units,2013/2/15 3:20,1,
Cassette Single,Units,2013/2/7 13:12,1,
Cassette Single,Units,2013/1/25 7:40,1,
Cassette Single,Units,2013/1/12 3:04,1,
Cassette Single,Units,2012/12/30 7:25,1,
Cassette Single,Units,2012/12/18 11:19,1,
Cassette Single,Units,2012/11/20 20:37,1,
Cassette Single,Units,2012/11/20 6:25,1,
Cassette Single,Units,2012/10/25 15:57,1,
Cassette Single,Units,2012/10/19 16:26,1,5.1
Cassette Single,Units,2012/10/9 0:54,1,22.5
Cassette Single,Units,2012/10/3 22:50,1,76.2
Cassette Single,Units,2012/10/2 16:38,1,87.4
Cassette Single,Units,2012/9/28 5:44,1,69
Cassette Single,Units,2012/9/18 19:34,1,84.6
Cassette Single,Units,2012/9/11 22:07,1,85.6
Cassette Single,Units,2012/9/10 1:03,1,81.1
Cassette Single,Units,2012/8/27 6:57,1,70.7
Cassette Single,Units,2012/8/26 14:55,1,59.9
Cassette Single,Units,2012/8/13 5:31,1,42.2
Cassette Single,Units,2012/7/27 4:19,1,26.4
Cassette Single,Units,2012/7/25 7:48,1,14.2
Cassette Single,Units,2012/6/5 7:44,1,1.3
Cassette Single,Units,2012/5/25 11:31,1,-1.5
Cassette Single,Units,2012/5/22 8:31,1,-0.5
Cassette Single,Units,2012/5/15 11:04,1,0
Cassette Single,Units,2012/5/4 21:54,1,0
Cassette Single,Units,2012/4/23 22:01,1,0
Cassette Single,Units,2012/4/21 16:08,1,0
Cassette Single,Units,2012/4/19 22:12,1,0
Cassette Single,Units,2012/4/2 16:50,1,0
Cassette Single,Units,2012/3/12 6:40,1,0
Cassette Single,Units,2012/3/3 21:28,1,0
Cassette Single,Units,2012/3/1 3:12,1,0
Cassette Single,Units,2012/2/24 19:11,1,
Cassette Single,Units,2012/2/17 10:47,1,
Cassette Single,Units,2012/2/12 5:25,1,
Cassette Single,Units,2012/2/4 14:42,1,
Cassette Single,Units,2012/1/15 12:26,1,
Cassette Single,Units,2012/1/11 2:23,1,
Cassette Single,Units,2011/12/19 11:35,1,
Cassette Single,Units,2011/12/14 5:01,1,
LP/EP,Units,2011/12/11 17:29,1,280
LP/EP,Units,2011/11/20 5:25,1,276
LP/EP,Units,2011/10/12 7:13,1,257
LP/EP,Units,2011/9/13 23:36,1,273
LP/EP,Units,2011/8/31 9:44,1,344
LP/EP,Units,2011/8/20 20:01,1,341.3
LP/EP,Units,2011/8/18 14:55,1,290
LP/EP,Units,2011/8/11 2:56,1,308
LP/EP,Units,2011/8/4 7:25,1,295.2
LP/EP,Units,2011/7/27 23:00,1,243.9
LP/EP,Units,2011/7/7 23:25,1,209.6
LP/EP,Units,2011/7/5 15:42,1,204.6
LP/EP,Units,2011/7/4 9:18,1,167
LP/EP,Units,2011/6/16 11:51,1,125.2
LP/EP,Units,2011/5/25 5:40,1,107
LP/EP,Units,2011/5/16 13:39,1,72.4
LP/EP,Units,2011/4/27 20:38,1,34.6
LP/EP,Units,2011/4/27 11:21,1,11.7
LP/EP,Units,2011/4/17 11:21,1,4.8
LP/EP,Units,2011/4/6 8:30,1,2.3
LP/EP,Units,2011/3/24 20:23,1,1.2
LP/EP,Units,2011/3/23 4:24,1,1.9
LP/EP,Units,2011/3/23 4:16,1,2.2
LP/EP,Units,2011/3/1 10:37,1,2.9
LP/EP,Units,2011/2/21 5:07,1,2.7
LP/EP,Units,2011/2/12 11:00,1,3.4
LP/EP,Units,2011/1/21 15:11,1,2.9
LP/EP,Units,2011/1/8 19:38,1,2.2
LP/EP,Units,2010/12/25 23:24,1,2.3
LP/EP,Units,2010/12/14 0:27,1,1.743
LP/EP,Units,2010/12/9 2:54,1,1.5
LP/EP,Units,2010/12/1 6:31,1,1.4
LP/EP,Units,2010/11/21 14:45,1,1
LP/EP,Units,2010/11/19 7:25,1,0.9
LP/EP,Units,2010/11/10 8:26,1,1.3
LP/EP,Units,2010/11/9 13:05,1,2.9
LP/EP,Units,2010/11/9 6:56,1,3.5
LP/EP,Units,2010/10/27 11:27,1,4.2
LP/EP,Units,2010/10/8 9:58,1,5.5
LP/EP,Units,2010/9/24 12:02,1,6.915365189
LP/EP,Units,2010/9/18 5:04,1,9.35128587
LP/EP,Units,2010/9/8 19:51,1,10.31556391
LP/EP,Units,2010/9/5 23:37,1,13.68102972
LP/EP,Units,2010/9/3 12:04,1,14.77088603
LP/EP,Units,2010/8/17 4:19,1,15.55608917
LP/EP,Units,2010/7/15 1:49,1,16.67012733
LP/EP,Units,2010/7/6 23:54,1,19.10316283
Vinyl Single,Units,2010/6/26 6:04,1,228
Vinyl Single,Units,2010/6/21 6:42,1,204
Vinyl Single,Units,2010/6/17 4:24,1,164
Vinyl Single,Units,2010/4/17 2:21,1,190
Vinyl Single,Units,2010/4/16 4:38,1,190
Vinyl Single,Units,2010/4/6 18:33,1,190
Vinyl Single,Units,2010/3/18 16:11,1,212
Vinyl Single,Units,2010/3/15 15:55,1,157
Vinyl Single,Units,2010/3/14 18:44,1,154.7
Vinyl Single,Units,2010/3/8 22:44,1,137.2
Vinyl Single,Units,2010/3/8 22:02,1,124.8
Vinyl Single,Units,2010/2/28 22:24,1,131.5
Vinyl Single,Units,2010/2/26 22:46,1,120.7
Vinyl Single,Units,2010/2/24 19:55,1,93.9
Vinyl Single,Units,2010/1/15 19:17,1,82
Vinyl Single,Units,2009/12/31 16:24,1,65.6
Vinyl Single,Units,2009/12/31 12:50,1,36.6
Vinyl Single,Units,2009/11/25 1:36,1,27.6
Vinyl Single,Units,2009/11/21 20:53,1,22
Vinyl Single,Units,2009/11/18 17:36,1,19.8
Vinyl Single,Units,2009/11/18 7:07,1,15.1
Vinyl Single,Units,2009/11/14 19:58,1,11.7
Vinyl Single,Units,2009/11/7 11:31,1,10.2
Vinyl Single,Units,2009/11/7 10:41,1,10.1
Vinyl Single,Units,2009/10/11 12:49,1,7.5
Vinyl Single,Units,2009/10/8 2:57,1,5.4
Vinyl Single,Units,2009/9/27 22:22,1,5.3
Vinyl Single,Units,2009/9/18 20:13,1,4.8
Vinyl Single,Units,2009/9/4 2:23,1,5.5
Vinyl Single,Units,2009/8/23 21:17,1,4.4
Vinyl Single,Units,2009/7/31 2:13,1,3.8
Vinyl Single,Units,2009/7/16 6:39,1,3.5
Vinyl Single,Units,2009/7/3 4:02,1,2.3
Vinyl Single,Units,2009/6/27 13:08,1,1.5
Vinyl Single,Units,2009/6/20 11:04,1,0.6
Vinyl Single,Units,2009/6/18 4:39,1,0.4
Vinyl Single,Units,2009/6/9 22:42,1,0.3
Vinyl Single,Units,2009/5/31 6:05,1,0.3
Vinyl Single,Units,2009/5/13 20:20,1,0.4
Vinyl Single,Units,2009/5/4 11:39,1,0.388573687
Vinyl Single,Units,2009/4/20 4:01,1,0.315817054
Vinyl Single,Units,2009/4/10 18:42,1,0.481198278
Vinyl Single,Units,2009/3/4 0:38,1,0.50786991
Vinyl Single,Units,2009/2/20 12:15,1,0.404330651
Vinyl Single,Units,2009/2/7 19:51,1,0.402959365
Vinyl Single,Units,2009/1/12 22:24,1,0.346165002
Vinyl Single,Units,2009/1/10 7:42,1,0.336120488
8 - Track,Units,2008/12/24 15:51,1,91
8 - Track,Units,2008/12/12 11:36,1,96.7
8 - Track,Units,2008/12/9 6:08,1,94.6
8 - Track,Units,2008/11/24 22:01,1,106.1
8 - Track,Units,2008/11/21 0:26,1,127.3
8 - Track,Units,2008/11/18 9:41,1,133.6
8 - Track,Units,2008/11/9 2:38,1,102.3
8 - Track,Units,2008/10/21 2:20,1,85
8 - Track,Units,2008/10/10 9:34,1,50
8 - Track,Units,2008/10/7 2:45,1,13.7
8 - Track,Units,2008/9/9 9:49,1,0
8 - Track,Units,2008/8/16 14:40,1,0
8 - Track,Units,2008/8/12 11:44,1,0
8 - Track,Units,2008/8/7 6:07,1,0
8 - Track,Units,2008/7/23 14:45,1,0
8 - Track,Units,2008/7/22 19:34,1,0
8 - Track,Units,2008/7/11 14:35,1,0
8 - Track,Units,2008/7/8 15:55,1,0
8 - Track,Units,2008/7/1 17:40,1,0
8 - Track,Units,2008/6/27 2:01,1,0
8 - Track,Units,2008/6/18 13:45,1,0
8 - Track,Units,2008/5/29 21:23,1,0
8 - Track,Units,2008/5/24 10:18,1,0
8 - Track,Units,2008/5/22 20:50,1,0
8 - Track,Units,2008/5/6 1:08,1,0
8 - Track,Units,2008/4/30 1:18,1,0
8 - Track,Units,2008/4/6 16:03,1,0
8 - Track,Units,2008/3/15 11:29,1,0
8 - Track,Units,2008/2/24 19:33,1,0
8 - Track,Units,2008/2/19 13:30,1,0
8 - Track,Units,2008/2/18 8:51,1,0
8 - Track,Units,2008/2/17 12:19,1,0
8 - Track,Units,2008/2/16 8:38,1,0
8 - Track,Units,2008/1/18 1:17,1,0
8 - Track,Units,2008/1/9 3:53,1,0
8 - Track,Units,2007/12/26 6:46,1,0
8 - Track,Units,2007/12/20 17:00,1,0
8 - Track,Units,2007/10/25 19:35,1,0
8 - Track,Units,2007/10/12 9:14,1,0
8 - Track,Units,2007/10/7 13:31,1,
8 - Track,Units,2007/9/22 17:57,1,
8 - Track,Units,2007/6/11 9:47,1,
8 - Track,Units,2007/6/8 13:32,1,
8 - Track,Units,2007/6/7 21:28,1,
8 - Track,Units,2007/5/16 16:20,1,
8 - Track,Units,2007/5/16 4:45,1,
8 - Track,Units,2007/5/4 17:52,1,
Other Tapes,Units,2007/4/18 12:44,1,2.2
Other Tapes,Units,2007/4/16 14:56,1,1.9
Other Tapes,Units,2007/3/17 6:48,1,1.5
Other Tapes,Units,2007/3/15 2:20,1,0.7
Other Tapes,Units,2007/3/7 15:16,1,0
Other Tapes,Units,2007/2/2 12:48,1,0
Other Tapes,Units,2007/1/26 22:22,1,0
Other Tapes,Units,2007/1/22 7:24,1,0
Other Tapes,Units,2007/1/18 13:51,1,0
Other Tapes,Units,2007/1/17 9:50,1,0
Other Tapes,Units,2007/1/1 11:43,1,0
Other Tapes,Units,2006/12/9 6:31,1,0
Other Tapes,Units,2006/12/7 11:42,1,0
Other Tapes,Units,2006/12/1 6:09,1,0
Other Tapes,Units,2006/11/13 15:16,1,0
Other Tapes,Units,2006/10/24 8:42,1,0
Other Tapes,Units,2006/10/14 18:10,1,0
Other Tapes,Units,2006/10/9 4:45,1,0
Other Tapes,Units,2006/10/7 12:18,1,0
Other Tapes,Units,2006/10/2 19:10,1,0
Other Tapes,Units,2006/9/27 8:33,1,0
Other Tapes,Units,2006/9/23 18:52,1,0
Other Tapes,Units,2006/9/2 17:57,1,0
Other Tapes,Units,2006/9/2 4:26,1,0
Other Tapes,Units,2006/8/29 1:38,1,0
Other Tapes,Units,2006/8/18 0:03,1,0
Other Tapes,Units,2006/8/17 10:43,1,0
Other Tapes,Units,2006/8/15 10:52,1,0
Other Tapes,Units,2006/8/9 4:30,1,0
Other Tapes,Units,2006/7/15 23:55,1,0
Other Tapes,Units,2006/7/15 15:22,1,0
Other Tapes,Units,2006/6/7 0:06,1,0
Other Tapes,Units,2006/5/28 1:32,1,0
Other Tapes,Units,2006/5/21 7:51,1,0
Other Tapes,Units,2006/5/7 17:45,1,0
Other Tapes,Units,2006/5/6 15:39,1,0
Other Tapes,Units,2006/4/25 18:46,1,0
Other Tapes,Units,2006/4/8 13:16,1,0
Other Tapes,Units,2006/4/4 11:30,1,0
Other Tapes,Units,2006/3/14 3:21,1,
Other Tapes,Units,2006/2/26 7:30,1,
Other Tapes,Units,2006/2/6 1:57,1,
Other Tapes,Units,2006/2/4 8:38,1,
Other Tapes,Units,2006/1/28 3:33,1,
Other Tapes,Units,2006/1/27 1:27,1,
Other Tapes,Units,2006/1/26 0:00,1,
Other Tapes,Units,2006/1/10 23:25,1,
Music Video (Physical),Units,2006/1/8 5:20,1,
Music Video (Physical),Units,2005/12/29 10:05,1,
Music Video (Physical),Units,2005/12/24 15:30,1,
Music Video (Physical),Units,2005/12/3 12:45,1,
Music Video (Physical),Units,2005/12/1 10:40,1,
Music Video (Physical),Units,2005/11/29 7:33,1,
Music Video (Physical),Units,2005/11/15 5:19,1,
Music Video (Physical),Units,2005/11/11 20:34,1,
Music Video (Physical),Units,2005/11/9 7:33,1,
Music Video (Physical),Units,2005/11/2 7:04,1,
Music Video (Physical),Units,2005/11/2 5:16,1,
Music Video (Physical),Units,2005/10/26 21:30,1,
Music Video (Physical),Units,2005/9/30 19:04,1,
Music Video (Physical),Units,2005/9/14 1:08,1,
Music Video (Physical),Units,2005/9/2 7:59,1,
Music Video (Physical),Units,2005/8/20 12:10,1,
Music Video (Physical),Units,2005/8/9 14:35,1,6.1
Music Video (Physical),Units,2005/7/1 22:36,1,9.2
Music Video (Physical),Units,2005/6/18 19:40,1,6.1
Music Video (Physical),Units,2005/6/5 1:56,1,7.6
Music Video (Physical),Units,2005/6/3 8:15,1,11
Music Video (Physical),Units,2005/5/27 14:12,1,11.2
Music Video (Physical),Units,2005/5/14 13:02,1,12.6
Music Video (Physical),Units,2005/5/7 9:31,1,16.9
Music Video (Physical),Units,2005/5/2 20:10,1,18.6
Music Video (Physical),Units,2005/4/22 11:18,1,27.2
Music Video (Physical),Units,2005/4/19 7:37,1,19.8
Music Video (Physical),Units,2005/4/16 10:40,1,18.2
Music Video (Physical),Units,2005/4/15 6:54,1,17.7
Music Video (Physical),Units,2005/4/14 14:05,1,14.7
Music Video (Physical),Units,2005/4/11 5:20,1,19.9
Music Video (Physical),Units,2005/4/6 1:30,1,32.8
Music Video (Physical),Units,2005/4/5 17:48,1,33.8
Music Video (Physical),Units,2005/4/3 1:45,1,23.2
Music Video (Physical),Units,2005/4/2 22:52,1,27.5
Music Video (Physical),Units,2005/3/31 22:15,1,13.2
Music Video (Physical),Units,2005/3/18 16:48,1,11.6
Music Video (Physical),Units,2005/3/12 22:16,1,9.1
Music Video (Physical),Units,2005/3/9 15:47,1,7.7
Music Video (Physical),Units,2005/3/9 12:49,1,6.032725467
Music Video (Physical),Units,2005/3/6 17:32,1,4.814626524
Music Video (Physical),Units,2005/2/17 22:52,1,4.065323601
Music Video (Physical),Units,2005/1/19 1:43,1,3.133228006
Music Video (Physical),Units,2005/1/2 23:09,1,2.495531725
Music Video (Physical),Units,2005/1/1 3:44,1,1.87712837
Music Video (Physical),Units,2004/12/29 7:11,1,1.395058021
Music Video (Physical),Units,2004/12/13 11:35,1,1.32294236
DVD Audio,Units,2004/12/11 15:36,1,
DVD Audio,Units,2004/11/30 8:32,1,
DVD Audio,Units,2004/11/17 3:13,1,
DVD Audio,Units,2004/10/14 11:41,1,
DVD Audio,Units,2004/10/10 11:05,1,
DVD Audio,Units,2004/10/7 13:14,1,
DVD Audio,Units,2004/10/4 4:39,1,
DVD Audio,Units,2004/9/28 8:57,1,
DVD Audio,Units,2004/9/3 12:07,1,
DVD Audio,Units,2004/8/22 10:01,1,
DVD Audio,Units,2004/7/29 12:41,1,
DVD Audio,Units,2004/7/25 5:29,1,
DVD Audio,Units,2004/7/22 3:34,1,
DVD Audio,Units,2004/7/16 0:11,1,
DVD Audio,Units,2004/7/4 16:58,1,
DVD Audio,Units,2004/7/3 20:47,1,
DVD Audio,Units,2004/6/12 7:13,1,
DVD Audio,Units,2004/6/11 15:41,1,
DVD Audio,Units,2004/6/5 20:34,1,
DVD Audio,Units,2004/6/4 13:41,1,
DVD Audio,Units,2004/6/3 21:59,1,
DVD Audio,Units,2004/6/3 9:40,1,
DVD Audio,Units,2004/5/18 11:12,1,
DVD Audio,Units,2004/5/17 2:08,1,
DVD Audio,Units,2004/5/6 2:22,1,
DVD Audio,Units,2004/4/23 0:33,1,
DVD Audio,Units,2004/4/22 21:19,1,
DVD Audio,Units,2004/4/22 4:21,1,
DVD Audio,Units,2004/4/6 3:24,1,0.263
DVD Audio,Units,2004/3/26 16:35,1,0.43
DVD Audio,Units,2004/3/25 9:39,1,0.4
DVD Audio,Units,2004/2/27 1:18,1,0.3
DVD Audio,Units,2004/2/2 18:52,1,0.5
DVD Audio,Units,2004/1/22 1:06,1,0.1
DVD Audio,Units,2004/1/17 20:11,1,0.2
DVD Audio,Units,2004/1/16 11:17,1,0.04
DVD Audio,Units,2004/1/2 4:27,1,0.1
DVD Audio,Units,2003/12/9 22:36,1,0.04
DVD Audio,Units,2003/11/26 2:00,1,0.01
DVD Audio,Units,2003/11/10 13:54,1,0.008533145
DVD Audio,Units,2003/11/1 14:09,1,-0.054735168
DVD Audio,Units,2003/10/16 0:47,1,0.066542722
DVD Audio,Units,2003/10/13 14:06,1,0.179506738
DVD Audio,Units,2003/10/7 0:23,1,0.085898932
DVD Audio,Units,2003/9/27 12:59,1,0.061332251
DVD Audio,Units,2003/9/22 3:45,1,0.092803246
DVD Audio,Units,2003/9/21 7:40,1,0.027982262
SACD,Units,2003/9/20 19:04,1,
SACD,Units,2003/9/2 20:00,1,
SACD,Units,2003/8/26 22:08,1,
SACD,Units,2003/8/26 8:44,1,
SACD,Units,2003/8/17 13:16,1,
SACD,Units,2003/8/1 4:09,1,
SACD,Units,2003/7/21 5:11,1,
SACD,Units,2003/6/22 22:53,1,
SACD,Units,2003/6/21 14:49,1,
SACD,Units,2003/6/16 17:17,1,
SACD,Units,2003/6/10 14:11,1,
SACD,Units,2003/5/27 23:32,1,
SACD,Units,2003/5/19 3:38,1,
SACD,Units,2003/5/18 7:51,1,
SACD,Units,2003/5/15 6:28,1,
SACD,Units,2003/4/28 13:06,1,
SACD,Units,2003/4/13 17:58,1,
SACD,Units,2003/4/7 9:25,1,
SACD,Units,2003/4/1 4:40,1,
SACD,Units,2003/3/27 5:50,1,
SACD,Units,2003/2/25 23:13,1,
SACD,Units,2003/2/12 23:45,1,
SACD,Units,2003/2/12 2:37,1,
SACD,Units,2003/2/6 17:00,1,
SACD,Units,2003/2/5 6:16,1,
SACD,Units,2003/2/4 14:07,1,
SACD,Units,2003/1/30 6:02,1,
SACD,Units,2002/11/28 15:41,1,
SACD,Units,2002/11/21 0:11,1,
SACD,Units,2002/11/12 21:49,1,
SACD,Units,2002/11/10 22:13,1,1.3
SACD,Units,2002/10/9 12:00,1,0.8
SACD,Units,2002/10/4 10:08,1,0.5
SACD,Units,2002/9/24 16:48,1,0.3
SACD,Units,2002/8/14 7:48,1,0.2
SACD,Units,2002/8/11 20:42,1,0.1
SACD,Units,2002/8/10 18:01,1,0.1
SACD,Units,2002/7/25 15:57,1,0.1
SACD,Units,2002/7/22 11:16,1,0.1
SACD,Units,2002/6/29 16:31,1,0.065446
SACD,Units,2002/6/15 11:51,1,0.044683
SACD,Units,2002/6/13 15:29,1,0.030486
SACD,Units,2002/6/2 4:28,1,0.041633
SACD,Units,2002/4/3 19:10,1,0.045272
SACD,Units,2002/4/2 2:36,1,0.032749
SACD,Units,2002/3/28 21:29,1,0.032804
SACD,Units,2002/3/19 5:56,1,0.017654
Download Single,Units,2002/3/19 2:56,1,
Download Single,Units,2002/3/18 14:44,1,
Download Single,Units,2002/3/9 1:20,1,
Download Single,Units,2002/3/3 21:10,1,
Download Single,Units,2002/3/1 3:53,1,
Download Single,Units,2002/2/9 19:50,1,
Download Single,Units,2002/2/1 19:07,1,
Download Single,Units,2002/1/20 16:42,1,
Download Single,Units,2002/1/3 12:19,1,
Download Single,Units,2001/12/14 17:58,1,
Download Single,Units,2001/12/12 16:56,1,
Download Single,Units,2001/11/26 6:51,1,
Download Single,Units,2001/11/13 10:58,1,
Download Single,Units,2001/11/11 12:14,1,
Download Single,Units,2001/10/27 19:20,1,
Download Single,Units,2001/10/14 12:03,1,
Download Single,Units,2001/10/12 3:11,1,
Download Single,Units,2001/10/6 6:29,1,
Download Single,Units,2001/9/25 11:54,1,
Download Single,Units,2001/8/26 16:08,1,
Download Single,Units,2001/8/18 13:57,1,
Download Single,Units,2001/7/26 21:20,1,
Download Single,Units,2001/7/23 22:19,1,
Download Single,Units,2001/5/6 4:30,1,
Download Single,Units,2001/4/27 9:46,1,
Download Single,Units,2001/4/23 6:12,1,
Download Single,Units,2001/4/14 6:40,1,
Download Single,Units,2001/4/13 0:29,1,
Download Single,Units,2001/2/9 21:27,1,
Download Single,Units,2001/2/4 5:53,1,
Download Single,Units,2001/1/28 16:19,1,
Download Single,Units,2000/12/15 13:22,1,139.4
Download Single,Units,2000/12/15 3:46,1,366.9
Download Single,Units,2000/11/28 12:20,1,586.4
Download Single,Units,2000/11/13 0:28,1,819.4
Download Single,Units,2000/11/6 7:18,1,1042.7
Download Single,Units,2000/10/11 23:29,1,1124.4
Download Single,Units,2000/9/24 6:57,1,1177.4
Download Single,Units,2000/9/23 4:00,1,1332.3
Download Single,Units,2000/9/19 22:12,1,1402.739373
Download Single,Units,2000/8/25 1:12,1,1332.795366
Download Single,Units,2000/8/13 3:00,1,1154.379327
Download Single,Units,2000/8/1 16:48,1,986.2550359
Download Single,Units,2000/7/31 7:06,1,743.0034138
