用户编号,满意度,评分,总项目数,每月平均工作小时数（小时）,工龄（年）,工作事故,离职,5年内升职,部门,薪资
100,0.9,1,5,221,6,0,1,0,销售部,中
101,0.38,0.52,2,154,3,0,1,0,销售部,中
102,0.36,0.52,2,147,3,0,1,0,销售部,中
103,0.42,0.46,2,150,3,0,1,0,销售部,中
104,0.09,0.94,7,247,4,0,1,0,销售部,中
105,0.43,0.52,2,158,3,0,1,0,销售部,中
106,0.24,0.46,7,224,5,0,1,0,财务部,中
107,0.91,1,4,247,5,0,1,0,财务部,中
108,0.44,0.5,2,148,3,0,1,0,财务部,中
109,0.71,0.87,3,177,4,0,1,0,人力资源部,中
110,0.4,0.49,2,155,3,0,1,0,人力资源部,中
111,0.43,0.47,2,144,3,0,1,0,人力资源部,中
112,0.09,0.85,6,249,4,0,1,0,人力资源部,高
113,0.43,0.52,2,160,3,0,1,0,技术部,低
114,0.9,0.96,4,248,5,0,1,0,技术部,中
115,0.84,1,5,234,5,0,1,0,技术部,中
116,0.37,0.48,2,137,3,0,1,0,技术部,中
117,0.86,0.68,5,243,2,0,1,0,技术部,中
118,0.11,0.84,6,241,4,0,1,0,技术部,低
119,0.37,0.57,2,133,3,0,1,0,技术部,低
120,0.4,0.46,2,132,3,0,1,0,技术部,低
121,0.14,0.62,4,158,4,1,1,0,技术部,低
122,0.4,0.46,2,135,3,0,1,0,技术部,低
123,0.75,1,4,216,6,0,1,0,技术部,低
124,0.11,0.84,6,240,5,1,1,0,支持部,低
125,0.46,0.49,2,138,3,0,1,0,支持部,低
126,0.11,0.92,6,240,4,0,1,0,支持部,低
127,0.38,0.49,2,132,3,0,1,0,支持部,低
128,0.7,0.89,3,183,5,0,1,0,支持部,低
129,0.09,0.82,6,240,4,0,1,0,支持部,低
130,0.37,0.45,2,151,3,0,1,0,支持部,低
131,0.1,0.83,6,242,4,0,1,0,支持部,低
132,0.38,0.57,2,140,3,0,1,0,支持部,低
133,0.9,1,5,221,5,0,1,0,支持部,低
134,0.44,0.51,2,138,3,0,1,0,支持部,低
135,0.36,0.5,2,132,3,0,1,0,技术部,低
136,0.31,0.84,7,133,5,0,1,0,技术部,低
137,0.1,0.84,6,243,4,1,1,0,技术部,低
138,0.42,0.48,2,129,3,0,1,0,管理部,低
139,0.74,1,4,249,5,0,1,0,IT部,低
140,0.73,0.87,5,247,5,0,1,0,IT部,低
141,0.09,0.96,6,245,4,0,1,0,IT部,低
142,0.45,0.53,2,155,3,0,1,0,IT部,低
143,0.11,0.8,6,246,4,0,1,0,IT部,低
144,0.37,0.47,2,152,3,0,1,0,产品开发部,低
145,0.84,0.99,4,247,5,0,1,0,产品开发部,低
146,0.41,0.46,2,151,3,0,1,0,产品开发部,低
147,0.76,0.92,4,239,5,0,1,0,产品开发部,低
148,0.11,0.87,6,246,4,0,1,0,IT部,低
149,0.84,0.88,4,243,5,1,1,0,市场部,低
150,0.39,0.5,2,147,3,0,1,0,市场部,低
151,0.11,0.91,6,248,4,0,1,0,市场部,低
152,0.45,0.56,2,154,3,0,1,0,市场部,低
153,0.37,0.52,2,143,3,0,1,0,市场部,低
154,0.4,0.52,2,155,3,0,1,0,市场部,低
155,0.39,0.48,2,160,3,0,1,0,销售部,低
156,0.11,0.8,6,244,4,0,1,0,财务部,低
157,0.83,1,5,240,5,0,1,0,支持部,低
158,0.11,0.92,6,245,4,0,1,0,技术部,低
159,0.39,0.5,2,136,3,0,1,0,管理部,低
160,0.45,0.45,2,132,3,0,1,0,市场部,低
161,0.1,0.95,7,241,4,0,1,0,市场部,低
162,0.9,0.98,5,243,6,0,1,0,市场部,低
163,0.45,0.51,2,147,3,0,1,0,销售部,低
164,0.79,0.89,5,239,5,0,1,0,销售部,低
165,0.9,0.99,5,240,5,0,1,0,销售部,低
166,0.11,0.84,7,246,4,0,1,0,销售部,低
167,0.43,0.55,2,129,3,0,1,0,销售部,低
168,0.31,0.54,5,132,5,0,1,0,销售部,低
169,0.32,0.5,2,135,5,0,1,0,销售部,低
170,0.45,0.57,2,158,3,0,1,0,销售部,低
171,0.81,0.99,4,249,5,0,1,0,销售部,低
172,0.41,0.46,2,160,3,0,1,1,销售部,低
173,0.11,0.78,7,248,4,0,1,0,销售部,低
174,0.1,0.88,6,244,4,0,1,0,销售部,低
175,0.7,0.53,2,244,4,0,1,0,销售部,低
176,0.54,0.74,4,164,2,0,1,0,销售部,低
177,0.41,0.48,2,148,3,0,1,0,销售部,低
178,0.38,0.5,2,140,3,0,1,0,销售部,中
179,0.37,0.51,2,127,3,0,1,0,销售部,中
180,0.11,0.85,6,248,5,0,1,0,销售部,中
181,0.4,0.47,2,146,3,0,1,0,销售部,中
182,0.1,0.84,6,241,4,0,1,0,财务部,中
183,0.89,0.99,5,247,5,0,1,0,财务部,中
184,0.11,0.8,6,245,4,0,1,0,财务部,中
185,0.36,0.55,2,141,3,0,1,0,人力资源部,中
186,0.4,0.46,2,127,3,0,1,0,人力资源部,中
187,0.09,0.85,6,247,4,0,1,0,人力资源部,中
188,0.4,0.46,2,143,3,0,1,0,人力资源部,中
189,0.37,0.55,2,152,3,0,1,0,技术部,中
190,0.44,0.51,2,156,3,0,1,0,技术部,高
191,0.09,0.8,7,243,5,0,1,0,技术部,低
192,0.92,0.87,4,226,6,1,1,0,技术部,中
193,0.74,0.91,4,232,5,0,1,0,技术部,中
194,0.09,0.82,6,249,4,0,1,0,技术部,中
195,0.89,0.95,4,245,5,0,1,0,技术部,中
196,0.09,0.8,6,244,4,0,1,0,技术部,低
197,0.27,0.54,7,248,3,0,1,0,技术部,低
198,0.1,0.91,6,247,4,0,1,0,技术部,低
199,0.1,0.89,7,245,4,0,1,0,技术部,低
200,0.77,0.94,5,226,6,0,1,0,支持部,低
201,0.9,0.82,5,249,5,0,1,0,支持部,低
202,0.39,0.5,2,135,3,0,1,0,支持部,低
203,0.76,1,5,219,5,0,1,0,支持部,低
204,0.1,0.93,6,246,4,0,1,0,支持部,低
205,0.87,0.9,5,244,6,0,1,0,支持部,低
206,0.38,0.5,2,153,3,0,1,0,支持部,低
207,0.77,0.99,5,228,5,0,1,0,支持部,低
208,0.78,0.87,4,228,5,0,1,0,支持部,低
209,0.44,0.5,2,128,3,0,1,0,支持部,低
210,0.38,0.52,2,153,3,0,1,0,支持部,低
211,0.43,0.46,2,156,3,0,1,0,技术部,低
212,0.39,0.5,4,244,3,0,1,0,技术部,低
213,0.88,1,5,219,5,0,1,0,技术部,低
214,0.45,0.46,2,153,3,0,1,0,管理部,低
215,0.4,0.53,2,151,3,0,1,0,IT部,低
216,0.36,0.51,2,155,3,0,1,0,IT部,低
217,0.36,0.48,2,158,3,0,1,0,IT部,低
218,0.9,0.98,5,245,5,0,1,0,IT部,低
219,0.43,0.53,2,131,3,0,1,0,IT部,低
220,0.89,0.87,5,225,5,0,1,0,产品开发部,低
221,0.1,0.84,6,246,4,0,1,0,产品开发部,低
222,0.37,0.5,2,135,3,0,1,0,产品开发部,低
223,0.37,0.51,2,153,3,0,1,0,产品开发部,低
224,0.87,0.9,5,242,5,0,1,0,IT部,低
225,0.4,0.56,2,149,3,0,1,0,财务部,低
226,0.9,0.97,4,248,5,0,1,0,财务部,低
227,0.37,0.46,2,158,3,0,1,0,人力资源部,低
228,0.44,0.54,2,149,3,0,1,0,人力资源部,低
229,0.85,0.95,5,236,5,0,1,0,人力资源部,低
230,0.78,0.98,5,239,6,0,1,0,市场部,低
231,0.42,0.47,2,159,3,0,1,0,市场部,低
232,0.92,0.99,5,245,6,0,1,0,销售部,低
233,0.11,0.83,6,244,4,0,1,0,财务部,低
234,0.42,0.56,2,134,3,0,1,0,支持部,低
235,0.48,0.57,4,240,4,0,1,0,技术部,低
236,0.83,0.85,4,245,5,0,1,0,管理部,低
237,0.4,0.53,2,151,3,0,1,0,市场部,低
238,0.43,0.45,2,135,3,0,1,0,市场部,低
239,0.43,0.53,2,146,3,0,1,0,市场部,低
240,0.1,0.97,7,244,4,0,1,0,销售部,低
241,0.1,0.87,7,249,4,0,1,0,销售部,低
242,0.37,0.46,2,156,3,0,1,0,销售部,低
243,0.38,0.53,2,156,3,0,1,0,销售部,低
244,0.4,0.5,2,128,3,0,1,0,销售部,低
245,0.89,0.86,5,245,5,0,1,0,销售部,低
246,0.45,0.46,2,155,3,0,1,0,销售部,低
247,0.37,0.48,2,159,3,0,1,0,销售部,低
248,0.46,0.49,2,148,3,0,1,0,销售部,低
249,0.87,0.91,4,228,5,0,1,0,销售部,低
250,0.11,0.84,6,248,4,0,1,0,销售部,低
251,0.79,0.87,5,241,5,0,1,0,销售部,低
252,0.79,0.92,5,244,6,0,1,0,销售部,低
253,0.19,0.59,7,192,3,0,1,0,销售部,低
254,0.87,0.98,4,248,5,0,1,0,销售部,低
255,0.6,0.92,2,248,5,0,1,0,销售部,低
256,0.44,0.45,2,156,3,0,1,0,销售部,中
257,0.11,0.81,6,246,4,1,1,0,销售部,中
258,0.42,0.54,2,156,3,0,1,0,销售部,中
259,0.88,0.88,5,232,5,1,1,0,财务部,中
260,0.11,0.84,6,247,4,0,1,0,财务部,中
261,0.46,0.46,2,154,3,0,1,0,财务部,中
262,0.82,0.97,5,243,5,0,1,0,人力资源部,中
263,0.44,0.56,2,131,3,0,1,0,人力资源部,中
264,0.11,0.78,6,240,4,0,1,0,人力资源部,中
265,0.42,0.5,2,139,3,0,1,0,人力资源部,中
266,0.84,0.93,4,241,5,0,1,0,技术部,中
267,0.11,0.95,6,246,4,0,1,0,技术部,中
268,0.45,0.53,2,129,3,0,1,0,技术部,高
269,0.38,0.56,2,156,3,0,1,0,技术部,低
270,0.38,0.86,6,139,6,0,1,0,技术部,中
271,0.44,0.51,2,127,3,0,1,0,技术部,中
272,0.11,0.84,6,241,4,0,1,0,技术部,中
273,0.81,0.93,5,240,5,0,1,0,技术部,中
274,0.09,0.96,6,246,4,0,1,0,技术部,低
275,0.11,0.9,6,244,4,0,1,0,技术部,低
276,0.81,0.95,5,238,6,0,1,0,技术部,低
277,0.1,0.97,6,247,4,1,1,0,支持部,低
278,0.74,0.89,5,229,6,0,1,0,支持部,低
279,0.09,0.78,6,244,4,0,1,0,支持部,低
280,0.82,0.81,4,233,4,1,1,0,支持部,低
281,0.1,0.98,6,248,4,0,1,0,支持部,低
282,0.27,0.56,3,241,3,0,1,0,支持部,低
283,0.83,0.92,5,247,6,0,1,0,支持部,低
284,0.1,0.93,6,249,4,1,1,0,支持部,低
285,0.38,0.47,2,144,3,0,1,0,支持部,低
286,0.4,0.56,2,148,3,0,1,0,支持部,低
287,0.11,0.83,6,246,4,0,1,0,支持部,低
288,0.11,0.79,6,242,4,0,1,1,技术部,低
289,0.82,0.91,5,232,5,0,1,0,技术部,低
290,0.36,0.48,2,137,3,0,1,0,技术部,低
291,0.4,0.46,2,128,3,0,1,0,管理部,低
292,0.87,0.84,5,231,5,0,1,0,IT部,低
293,0.41,0.49,2,146,3,0,1,0,IT部,低
294,0.11,0.91,6,248,4,1,1,0,IT部,低
295,0.1,0.93,6,243,4,0,1,0,IT部,中
296,0.38,0.51,2,146,3,0,1,0,IT部,中
297,0.39,0.55,2,156,3,0,1,0,产品开发部,中
298,0.4,0.52,2,147,3,0,1,0,产品开发部,中
299,0.45,0.48,2,136,3,0,1,0,产品开发部,中
300,0.74,0.84,5,249,5,0,1,0,产品开发部,中
301,0.45,0.55,2,151,3,0,1,0,IT部,中
302,0.12,1,3,248,4,0,1,0,研发部,中
303,0.1,0.77,7,240,5,0,1,0,研发部,中
304,0.37,0.55,2,127,3,0,1,0,研发部,中
305,0.89,0.87,5,245,5,0,1,0,研发部,中
306,0.45,0.47,2,135,3,0,1,0,研发部,中
307,0.37,0.46,2,149,3,0,1,0,市场部,高
308,0.11,0.81,5,247,4,0,1,0,销售部,低
309,0.41,0.48,2,145,3,0,1,0,财务部,中
310,0.1,0.94,6,245,4,0,1,0,支持部,中
311,0.1,0.93,7,245,4,0,1,0,技术部,中
312,0.11,0.95,7,240,4,0,1,0,管理部,中
313,0.4,0.54,2,139,3,0,1,0,市场部,低
314,0.41,0.49,2,130,3,0,1,0,市场部,低
315,0.1,0.81,6,248,4,0,1,0,市场部,低
316,0.73,0.86,4,245,6,0,1,0,销售部,低
317,0.43,0.47,2,135,3,0,1,0,销售部,低
318,0.37,0.46,2,153,3,0,1,0,销售部,低
319,0.11,0.94,6,246,4,0,1,0,销售部,低
320,0.4,0.46,2,130,3,0,1,0,销售部,低
321,0.41,0.54,2,153,3,1,1,0,销售部,低
322,0.82,0.84,5,244,5,0,1,0,销售部,低
323,0.61,0.47,2,243,3,0,1,0,销售部,低
324,0.11,0.91,7,247,4,0,1,0,销售部,低
325,0.37,0.45,2,131,3,0,1,0,销售部,低
326,0.41,0.52,2,135,3,0,1,0,销售部,低
327,0.37,0.52,2,157,3,0,1,0,销售部,低
328,0.88,0.99,5,242,6,0,1,0,销售部,低
329,0.1,0.85,6,246,4,0,1,0,销售部,低
330,0.44,0.48,2,148,3,0,1,0,销售部,低
331,0.38,0.57,2,140,3,0,1,0,销售部,低
332,0.11,0.85,7,242,4,0,1,0,销售部,低
333,0.09,0.98,6,241,4,0,1,0,销售部,低
334,0.45,0.52,2,145,3,0,1,0,销售部,中
335,0.1,0.81,6,240,4,0,1,0,财务部,中
336,0.45,0.47,2,151,3,0,1,0,财务部,中
337,0.77,0.87,5,246,5,0,1,0,财务部,中
338,0.44,0.51,2,140,3,0,1,0,人力资源部,中
339,0.39,0.5,2,142,3,0,1,0,人力资源部,中
340,0.1,0.91,6,246,4,0,1,0,人力资源部,中
341,0.09,0.89,7,248,5,0,1,0,人力资源部,中
342,0.37,0.47,2,141,3,0,1,0,技术部,中
343,0.9,1,5,232,5,0,1,0,技术部,中
344,0.41,0.56,2,143,3,0,1,0,技术部,中
345,0.37,0.52,2,155,3,0,1,0,技术部,中
346,0.1,0.86,6,248,4,0,1,0,技术部,高
347,0.81,1,4,243,5,0,1,0,技术部,低
348,0.11,0.8,6,242,4,0,1,0,技术部,中
349,0.11,0.84,7,244,4,0,1,0,技术部,中
350,0.4,0.46,2,149,3,0,1,0,技术部,中
351,0.09,0.8,6,244,5,0,1,0,技术部,中
352,0.48,0.93,3,219,6,0,1,0,技术部,低
353,0.91,0.91,4,242,6,0,1,0,支持部,低
354,0.43,0.57,2,135,3,0,1,0,支持部,低
355,0.33,0.88,6,219,5,0,1,0,支持部,低
356,0.41,0.57,2,136,3,0,1,0,支持部,低
357,0.41,0.55,2,154,3,0,1,0,支持部,低
358,0.37,0.54,2,149,3,0,1,0,支持部,低
359,0.31,0.62,6,135,5,0,1,0,支持部,低
360,0.09,0.91,6,245,4,0,1,0,支持部,低
361,0.1,0.87,6,240,4,0,1,0,支持部,低
362,0.76,0.9,4,243,5,0,1,0,支持部,低
363,0.41,0.54,2,145,3,0,1,0,支持部,低
364,0.72,0.96,5,247,5,0,1,0,技术部,低
365,0.4,0.5,2,141,3,1,1,0,技术部,低
366,0.91,0.87,4,235,5,0,1,0,技术部,低
367,0.1,0.83,6,248,4,0,1,0,管理部,低
368,0.4,0.56,2,131,3,0,1,0,IT部,低
369,0.82,0.86,5,243,5,0,1,0,IT部,低
370,0.1,0.82,6,246,4,0,1,0,IT部,低
371,0.37,0.45,2,142,3,0,1,0,IT部,低
372,0.36,0.51,2,135,3,0,1,0,IT部,低
373,0.39,0.48,2,141,3,0,1,0,产品开发部,中
374,0.36,0.57,2,142,3,0,1,0,产品开发部,中
375,0.86,0.84,5,244,5,0,1,0,产品开发部,中
376,0.73,0.99,5,242,5,0,1,0,产品开发部,中
377,0.56,0.71,4,246,2,0,1,0,IT部,中
378,0.44,0.56,2,158,3,0,1,0,财务部,中
379,0.31,0.56,4,238,2,0,1,0,财务部,中
380,0.77,0.93,4,231,5,0,1,0,人力资源部,中
381,0.44,0.45,2,156,3,0,1,0,人力资源部,中
382,0.38,0.46,2,145,3,0,1,0,人力资源部,中
383,0.45,0.48,2,144,3,0,1,0,市场部,中
384,0.38,0.51,2,159,3,0,1,0,销售部,中
385,0.36,0.48,2,156,3,0,1,0,财务部,高
386,0.75,0.9,5,246,5,0,1,0,支持部,低
387,0.1,0.93,6,248,4,0,1,0,技术部,中
388,0.1,0.97,6,247,4,0,1,0,管理部,中
389,0.45,0.5,2,157,3,0,1,0,市场部,中
390,0.42,0.57,2,154,3,1,1,0,市场部,中
391,0.78,1,4,243,5,0,1,0,市场部,低
392,0.45,0.55,2,148,3,0,1,0,销售部,低
393,0.84,1,4,241,5,0,1,0,销售部,低
394,0.11,0.93,6,242,4,0,1,0,销售部,低
395,0.42,0.56,2,133,3,0,1,0,销售部,低
396,0.45,0.46,2,128,3,0,1,0,销售部,低
397,0.46,0.57,2,139,3,0,1,0,销售部,低
398,0.09,0.79,6,243,5,0,1,0,销售部,低
399,0.87,0.83,4,245,6,0,1,0,销售部,低
400,0.1,0.87,6,240,4,0,1,0,销售部,低
401,0.91,1,5,241,6,0,1,0,销售部,低
402,0.76,0.92,4,246,5,0,1,0,销售部,低
403,0.74,1,5,245,5,0,1,0,销售部,低
404,0.92,0.93,5,240,5,0,1,0,销售部,低
405,0.76,0.87,5,245,5,0,1,0,销售部,低
406,0.47,0.5,4,244,4,0,1,0,销售部,低
407,0.73,0.99,5,241,5,0,1,0,销售部,低
408,0.09,0.94,6,247,4,0,1,0,销售部,低
409,0.91,0.92,4,246,5,0,1,0,销售部,低
410,0.82,0.98,4,233,5,0,1,0,销售部,低
411,0.28,0.45,6,218,4,0,1,0,财务部,低
412,0.84,0.99,4,242,6,0,1,0,财务部,中
413,0.45,0.53,2,138,3,0,1,0,财务部,中
414,0.45,0.54,2,142,3,0,1,0,人力资源部,中
415,0.91,0.97,5,233,5,0,1,0,人力资源部,中
416,0.42,0.48,2,155,3,0,1,0,人力资源部,中
417,0.82,1,4,229,6,0,1,0,人力资源部,中
418,0.11,0.9,6,244,4,0,1,0,技术部,中
419,0.42,0.53,3,199,4,0,1,0,技术部,中
420,0.82,0.85,4,223,5,0,1,0,技术部,中
421,0.09,0.96,6,248,4,0,1,0,技术部,中
422,0.1,0.94,6,247,4,0,1,0,技术部,中
423,0.86,1,5,247,5,0,1,0,技术部,中
424,0.4,0.46,2,143,3,0,1,0,技术部,高
425,0.45,0.46,2,130,3,0,1,0,技术部,低
426,0.42,0.51,2,136,3,0,1,0,技术部,中
427,0.74,0.92,4,241,5,0,1,0,技术部,中
428,0.55,0.6,3,180,4,0,1,0,技术部,中
429,0.37,0.45,2,126,3,0,1,0,支持部,中
430,0.41,0.52,2,127,3,1,1,0,支持部,低
431,0.89,0.65,5,195,6,0,1,0,支持部,低
432,0.41,0.57,2,160,3,0,1,0,支持部,低
433,0.44,0.51,2,150,3,0,1,0,支持部,低
434,0.87,0.84,4,244,6,0,1,0,支持部,低
435,0.1,0.84,6,249,4,0,1,0,支持部,低
436,0.41,0.47,2,135,3,0,1,0,支持部,低
437,0.11,0.85,6,241,4,0,1,0,支持部,低
438,0.43,0.53,2,160,3,0,1,0,支持部,低
439,0.77,0.9,4,237,5,0,1,0,支持部,低
440,0.41,0.52,2,136,3,0,1,0,技术部,低
441,0.41,0.48,2,139,3,0,1,0,技术部,低
442,0.36,0.78,2,151,4,0,1,0,技术部,低
443,0.77,1,5,229,5,0,1,0,管理部,低
444,0.81,0.98,5,245,5,0,1,0,IT部,低
445,0.39,0.54,2,127,3,0,1,0,IT部,低
446,0.09,0.94,6,243,5,0,1,0,IT部,低
447,0.44,0.46,2,143,3,0,1,0,IT部,低
448,0.1,0.84,5,248,4,0,1,0,IT部,低
449,0.36,0.48,2,159,3,0,1,0,产品开发部,低
450,0.81,0.92,5,239,5,0,1,0,产品开发部,低
451,0.81,0.9,4,226,5,0,1,0,产品开发部,中
452,0.85,0.98,5,248,5,0,1,0,产品开发部,中
453,0.1,0.87,6,246,4,0,1,0,IT部,中
454,0.37,0.54,2,145,3,0,1,0,研发部,中
455,0.09,0.97,7,244,4,1,1,0,研发部,中
456,0.44,0.53,2,127,3,0,1,0,研发部,中
457,0.86,0.93,5,223,5,0,1,0,研发部,中
458,0.77,1,4,245,5,0,1,0,研发部,中
459,0.41,0.48,2,136,3,0,1,0,市场部,中
460,0.4,0.48,2,137,3,0,1,0,销售部,中
461,0.43,0.49,2,135,3,0,1,0,财务部,中
462,0.43,0.5,2,137,3,0,1,0,支持部,中
463,0.8,0.53,3,245,5,0,1,0,技术部,高
464,0.8,0.85,4,243,5,0,1,0,管理部,低
465,0.82,0.98,5,234,5,0,1,0,市场部,中
466,0.37,0.54,2,152,3,0,1,0,市场部,中
467,0.37,0.48,2,134,3,0,1,0,市场部,中
468,0.09,0.95,6,242,4,0,1,0,销售部,中
469,0.9,0.92,5,245,5,0,1,0,销售部,低
470,0.41,0.52,2,159,3,0,1,0,销售部,低
471,0.1,0.85,6,240,4,0,1,0,销售部,低
472,0.44,0.53,2,149,3,0,1,0,销售部,低
473,0.89,0.85,5,246,5,0,1,0,销售部,低
474,0.42,0.56,2,149,3,0,1,0,销售部,低
475,0.87,1,5,242,5,0,1,0,销售部,低
476,0.45,0.57,2,134,3,0,1,0,销售部,低
477,0.11,0.87,5,241,4,0,1,0,销售部,低
478,0.09,0.79,6,245,4,0,1,0,销售部,低
479,0.76,0.83,5,227,5,0,1,0,销售部,低
480,0.11,0.96,7,247,5,0,1,0,销售部,低
481,0.37,0.49,2,151,3,0,1,0,销售部,低
482,0.1,0.79,6,244,4,0,1,0,销售部,低
483,0.77,0.87,4,242,6,0,1,0,销售部,低
484,0.42,0.54,2,143,3,1,1,0,销售部,低
485,0.38,0.52,2,145,3,0,1,0,销售部,低
486,0.32,0.95,5,172,2,0,1,0,销售部,低
487,0.38,0.49,2,135,3,0,1,0,财务部,低
488,0.19,1,4,192,4,0,1,0,财务部,低
489,0.1,0.83,7,246,4,0,1,0,财务部,低
490,0.76,0.88,4,206,4,0,1,0,人力资源部,中
491,0.53,0.56,4,241,6,0,1,0,人力资源部,中
492,0.39,0.51,2,151,3,0,1,0,人力资源部,中
493,0.11,0.83,6,244,4,0,1,0,人力资源部,中
